# time,frequency,rangerate
1.620000000000000000e+02,1.458709860000000000e+08,-5.258009360239958369e+03
1.630000000000000000e+02,1.458709740000000000e+08,-5.233346658649521487e+03
1.635000000000000000e+02,1.458709740000000000e+08,-5.233346658649521487e+03
1.645000000000000000e+02,1.458709720000000000e+08,-5.229236208417732087e+03
1.700000000000000000e+02,1.458709300000000000e+08,-5.142916753017620977e+03
1.705000000000000000e+02,1.458709240000000000e+08,-5.130585402189118213e+03
1.740000000000000000e+02,1.458709040000000000e+08,-5.089480899604957813e+03
1.745000000000000000e+02,1.458709000000000000e+08,-5.081259999141379012e+03
1.750000000000000000e+02,1.458708940000000000e+08,-5.068928648379443985e+03
1.770000000000000000e+02,1.458708840000000000e+08,-5.048376397087364239e+03
1.805000000000000000e+02,1.458708600000000000e+08,-4.999050993973057302e+03
1.810000000000000000e+02,1.458708580000000000e+08,-4.994940543674701075e+03
1.815000000000000000e+02,1.458708520000000000e+08,-4.982609192912766048e+03
1.820000000000000000e+02,1.458708500000000000e+08,-4.978498742680976648e+03
1.825000000000000000e+02,1.458708440000000000e+08,-4.966167391919041620e+03
1.830000000000000000e+02,1.458708440000000000e+08,-4.966167391919041620e+03
1.875000000000000000e+02,1.458708040000000000e+08,-4.883958386750719910e+03
1.880000000000000000e+02,1.458708020000000000e+08,-4.879847936452363683e+03
1.885000000000000000e+02,1.458708020000000000e+08,-4.879847936452363683e+03
1.905000000000000000e+02,1.458707880000000000e+08,-4.851074784696704228e+03
1.925000000000000000e+02,1.458707740000000000e+08,-4.822301632874477946e+03
1.970000000000000000e+02,1.458707420000000000e+08,-4.756534428766447490e+03
1.990000000000000000e+02,1.458707240000000000e+08,-4.719540376414075581e+03
2.010000000000000000e+02,1.458707100000000000e+08,-4.690767224591849299e+03
2.015000000000000000e+02,1.458707080000000000e+08,-4.686656774360059899e+03
2.020000000000000000e+02,1.458707020000000000e+08,-4.674325423598125781e+03
2.040000000000000000e+02,1.458706900000000000e+08,-4.649662722074255726e+03
2.090000000000000000e+02,1.458706520000000000e+08,-4.571564167137722507e+03
2.165000000000000000e+02,1.458705880000000000e+08,-4.440029758921661596e+03
2.175000000000000000e+02,1.458705800000000000e+08,-4.423587957861370342e+03
2.205000000000000000e+02,1.458705560000000000e+08,-4.374262554747063405e+03
2.215000000000000000e+02,1.458705460000000000e+08,-4.353710303454982750e+03
2.230000000000000000e+02,1.458705240000000000e+08,-4.308495350639032949e+03
2.235000000000000000e+02,1.458705260000000000e+08,-4.312605800870822350e+03
2.240000000000000000e+02,1.458705220000000000e+08,-4.304384900407243549e+03
2.245000000000000000e+02,1.458705220000000000e+08,-4.304384900407243549e+03
2.255000000000000000e+02,1.458705100000000000e+08,-4.279722198816806667e+03
2.265000000000000000e+02,1.458705000000000000e+08,-4.259169947524726012e+03
2.270000000000000000e+02,1.458704940000000000e+08,-4.246838596762790985e+03
2.275000000000000000e+02,1.458704920000000000e+08,-4.242728146531001585e+03
2.285000000000000000e+02,1.458704840000000000e+08,-4.226286345470710330e+03
2.290000000000000000e+02,1.458704780000000000e+08,-4.213954994708776212e+03
2.295000000000000000e+02,1.458704720000000000e+08,-4.201623643946841185e+03
2.320000000000000000e+02,1.458704520000000000e+08,-4.160519141362679875e+03
2.365000000000000000e+02,1.458704140000000000e+08,-4.082420586426147111e+03
2.415000000000000000e+02,1.458703640000000000e+08,-3.979659330032311573e+03
2.420000000000000000e+02,1.458703580000000000e+08,-3.967327979270377000e+03
2.425000000000000000e+02,1.458703520000000000e+08,-3.954996628441874691e+03
2.430000000000000000e+02,1.458703440000000000e+08,-3.938554827448150718e+03
2.435000000000000000e+02,1.458703440000000000e+08,-3.938554827448150718e+03
2.440000000000000000e+02,1.458703380000000000e+08,-3.926223476686216145e+03
2.445000000000000000e+02,1.458703320000000000e+08,-3.913892125857713836e+03
2.450000000000000000e+02,1.458703280000000000e+08,-3.905671225394135490e+03
2.455000000000000000e+02,1.458703200000000000e+08,-3.889229424333844236e+03
2.465000000000000000e+02,1.458703120000000000e+08,-3.872787623340120263e+03
2.470000000000000000e+02,1.458703080000000000e+08,-3.864566722809974181e+03
2.480000000000000000e+02,1.458702960000000000e+08,-3.839904021219537299e+03
2.485000000000000000e+02,1.458702900000000000e+08,-3.827572670457602726e+03
2.490000000000000000e+02,1.458702880000000000e+08,-3.823462220225813326e+03
2.495000000000000000e+02,1.458702840000000000e+08,-3.815241319695667698e+03
2.500000000000000000e+02,1.458702760000000000e+08,-3.798799518635376444e+03
2.510000000000000000e+02,1.458702640000000000e+08,-3.774136817111506844e+03
2.515000000000000000e+02,1.458702600000000000e+08,-3.765915916581361216e+03
2.520000000000000000e+02,1.458702560000000000e+08,-3.757695016117782416e+03
2.525000000000000000e+02,1.458702500000000000e+08,-3.745363665289280561e+03
2.530000000000000000e+02,1.458702460000000000e+08,-3.737142764825702216e+03
2.535000000000000000e+02,1.458702400000000000e+08,-3.724811413997199907e+03
2.540000000000000000e+02,1.458702360000000000e+08,-3.716590513533621561e+03
2.545000000000000000e+02,1.458702300000000000e+08,-3.704259162705119252e+03
2.550000000000000000e+02,1.458702280000000000e+08,-3.700148712473330306e+03
2.555000000000000000e+02,1.458702200000000000e+08,-3.683706911413039052e+03
2.560000000000000000e+02,1.458702140000000000e+08,-3.671375560651104024e+03
2.565000000000000000e+02,1.458702060000000000e+08,-3.654933759657380051e+03
2.570000000000000000e+02,1.458702080000000000e+08,-3.659044209889169451e+03
2.575000000000000000e+02,1.458701980000000000e+08,-3.638491958597088797e+03
2.580000000000000000e+02,1.458701960000000000e+08,-3.634381508365299396e+03
2.585000000000000000e+02,1.458701880000000000e+08,-3.617939707305008142e+03
2.590000000000000000e+02,1.458701840000000000e+08,-3.609718806774862514e+03
