# time,frequency,rangerate
2.275000000000000000e+02,1.458717440000000000e+08,-5.988880604196720924e+03
2.280000000000000000e+02,1.458717420000000000e+08,-5.984770165281373011e+03
2.290000000000000000e+02,1.458717360000000000e+08,-5.972438848535326542e+03
2.295000000000000000e+02,1.458717320000000000e+08,-5.964217970704629806e+03
2.300000000000000000e+02,1.458717260000000000e+08,-5.951886653892016511e+03
2.305000000000000000e+02,1.458717200000000000e+08,-5.939555337145970952e+03
2.325000000000000000e+02,1.458717060000000000e+08,-5.910782264738531921e+03
2.330000000000000000e+02,1.458717020000000000e+08,-5.902561386907834276e+03
2.335000000000000000e+02,1.458716980000000000e+08,-5.894340509077137540e+03
2.340000000000000000e+02,1.458716940000000000e+08,-5.886119631179873068e+03
2.345000000000000000e+02,1.458716920000000000e+08,-5.882009192264524245e+03
2.350000000000000000e+02,1.458716860000000000e+08,-5.869677875518478686e+03
2.355000000000000000e+02,1.458716860000000000e+08,-5.869677875518478686e+03
2.360000000000000000e+02,1.458716800000000000e+08,-5.857346558772433127e+03
2.375000000000000000e+02,1.458716720000000000e+08,-5.840904803111038746e+03
2.380000000000000000e+02,1.458716700000000000e+08,-5.836794364195690832e+03
2.390000000000000000e+02,1.458716620000000000e+08,-5.820352608467728714e+03
2.395000000000000000e+02,1.458716560000000000e+08,-5.808021291721683156e+03
2.400000000000000000e+02,1.458716520000000000e+08,-5.799800413890986420e+03
2.410000000000000000e+02,1.458716480000000000e+08,-5.791579536060289684e+03
2.415000000000000000e+02,1.458716380000000000e+08,-5.771027341483546479e+03
2.420000000000000000e+02,1.458716380000000000e+08,-5.771027341483546479e+03
2.430000000000000000e+02,1.458716320000000000e+08,-5.758696024737500920e+03
2.440000000000000000e+02,1.458716260000000000e+08,-5.746364707924887625e+03
2.445000000000000000e+02,1.458716220000000000e+08,-5.738143830094190889e+03
2.450000000000000000e+02,1.458716180000000000e+08,-5.729922952263494153e+03
2.455000000000000000e+02,1.458716120000000000e+08,-5.717591635517448594e+03
2.460000000000000000e+02,1.458716140000000000e+08,-5.721702074432796508e+03
2.465000000000000000e+02,1.458716060000000000e+08,-5.705260318771402126e+03
2.475000000000000000e+02,1.458715980000000000e+08,-5.688818563110008654e+03
2.480000000000000000e+02,1.458716020000000000e+08,-5.697039440940705390e+03
2.485000000000000000e+02,1.458715940000000000e+08,-5.680597685212744182e+03
2.495000000000000000e+02,1.458715860000000000e+08,-5.664155929551349800e+03
