# time,frequency,rangerate
1.800000000000000000e+01,1.458709540000000000e+08,-6.081065836885976751e+03
1.850000000000000000e+01,1.458709540000000000e+08,-6.081065836885976751e+03
1.900000000000000000e+01,1.458709500000000000e+08,-6.072844911992199741e+03
1.950000000000000000e+01,1.458709500000000000e+08,-6.072844911992199741e+03
2.000000000000000000e+01,1.458709480000000000e+08,-6.068734449512027822e+03
2.100000000000000000e+01,1.458709440000000000e+08,-6.060513524684818549e+03
2.600000000000000000e+01,1.458709280000000000e+08,-6.027629825109711419e+03
2.700000000000000000e+01,1.458709240000000000e+08,-6.019408900215935319e+03
2.750000000000000000e+01,1.458709180000000000e+08,-6.007077512908554127e+03
2.800000000000000000e+01,1.458709180000000000e+08,-6.007077512908554127e+03
3.050000000000000000e+01,1.458709100000000000e+08,-5.990635663121000107e+03
3.100000000000000000e+01,1.458709080000000000e+08,-5.986525200640828189e+03
3.450000000000000000e+01,1.458708880000000000e+08,-5.945420576238511785e+03
3.550000000000000000e+01,1.458708860000000000e+08,-5.941310113758339867e+03
3.700000000000000000e+01,1.458708840000000000e+08,-5.937199651344735685e+03
3.750000000000000000e+01,1.458708820000000000e+08,-5.933089188864563766e+03
3.800000000000000000e+01,1.458708780000000000e+08,-5.924868263970786757e+03
3.850000000000000000e+01,1.458708780000000000e+08,-5.924868263970786757e+03
3.900000000000000000e+01,1.458708740000000000e+08,-5.916647339077009747e+03
4.000000000000000000e+01,1.458708720000000000e+08,-5.912536876663405565e+03
4.050000000000000000e+01,1.458708720000000000e+08,-5.912536876663405565e+03
4.100000000000000000e+01,1.458708660000000000e+08,-5.900205489356024373e+03
4.150000000000000000e+01,1.458708660000000000e+08,-5.900205489356024373e+03
4.200000000000000000e+01,1.458708640000000000e+08,-5.896095026875852454e+03
4.250000000000000000e+01,1.458708620000000000e+08,-5.891984564462247363e+03
4.300000000000000000e+01,1.458708600000000000e+08,-5.887874101982075445e+03
4.350000000000000000e+01,1.458708600000000000e+08,-5.887874101982075445e+03
4.400000000000000000e+01,1.458708540000000000e+08,-5.875542714674694253e+03
4.500000000000000000e+01,1.458708500000000000e+08,-5.867321789780917243e+03
4.550000000000000000e+01,1.458708500000000000e+08,-5.867321789780917243e+03
4.650000000000000000e+01,1.458708460000000000e+08,-5.859100864887140233e+03
4.700000000000000000e+01,1.458708360000000000e+08,-5.838548552685982031e+03
4.750000000000000000e+01,1.458708400000000000e+08,-5.846769477579759041e+03
4.850000000000000000e+01,1.458708340000000000e+08,-5.834438090205810113e+03
4.900000000000000000e+01,1.458708340000000000e+08,-5.834438090205810113e+03
5.000000000000000000e+01,1.458708320000000000e+08,-5.830327627792205931e+03
5.050000000000000000e+01,1.458708280000000000e+08,-5.822106702898428921e+03
5.100000000000000000e+01,1.458708260000000000e+08,-5.817996240418257003e+03
5.150000000000000000e+01,1.458708240000000000e+08,-5.813885778004652821e+03
5.300000000000000000e+01,1.458708140000000000e+08,-5.793333465803494619e+03
5.350000000000000000e+01,1.458708160000000000e+08,-5.797443928217098801e+03
5.400000000000000000e+01,1.458708120000000000e+08,-5.789223003323322700e+03
5.600000000000000000e+01,1.458708040000000000e+08,-5.772781153535768681e+03
5.700000000000000000e+01,1.458708000000000000e+08,-5.764560228641992580e+03
5.800000000000000000e+01,1.458707940000000000e+08,-5.752228841334610479e+03
6.150000000000000000e+01,1.458707780000000000e+08,-5.719345141759504259e+03
6.200000000000000000e+01,1.458707760000000000e+08,-5.715234679345899167e+03
6.250000000000000000e+01,1.458707740000000000e+08,-5.711124216865727249e+03
6.300000000000000000e+01,1.458707720000000000e+08,-5.707013754452123067e+03
6.350000000000000000e+01,1.458707700000000000e+08,-5.702903291971950239e+03
6.400000000000000000e+01,1.458707660000000000e+08,-5.694682367078174138e+03
6.500000000000000000e+01,1.458707620000000000e+08,-5.686461442250964865e+03
6.550000000000000000e+01,1.458707580000000000e+08,-5.678240517357187855e+03
