# time,frequency,rangerate
2.680000000000000000e+02,1.458711980000000000e+08,-5.764172933379535607e+03
2.690000000000000000e+02,1.458711820000000000e+08,-5.731289323603713456e+03
2.695000000000000000e+02,1.458711760000000000e+08,-5.718957969912818044e+03
2.700000000000000000e+02,1.458711680000000000e+08,-5.702516165058190381e+03
2.715000000000000000e+02,1.458711520000000000e+08,-5.669632555215801403e+03
2.720000000000000000e+02,1.458711480000000000e+08,-5.661411652821770986e+03
2.725000000000000000e+02,1.458711440000000000e+08,-5.653190750361173741e+03
2.730000000000000000e+02,1.458711360000000000e+08,-5.636748945439979252e+03
2.735000000000000000e+02,1.458711300000000000e+08,-5.624417591815650667e+03
2.740000000000000000e+02,1.458711260000000000e+08,-5.616196689355053422e+03
2.755000000000000000e+02,1.458711120000000000e+08,-5.587423530742962612e+03
2.760000000000000000e+02,1.458711060000000000e+08,-5.575092177118634027e+03
2.765000000000000000e+02,1.458711020000000000e+08,-5.566871274658036782e+03
2.770000000000000000e+02,1.458710960000000000e+08,-5.554539920967140461e+03
2.775000000000000000e+02,1.458710900000000000e+08,-5.542208567276245049e+03
2.780000000000000000e+02,1.458710860000000000e+08,-5.533987664882214631e+03
2.785000000000000000e+02,1.458710800000000000e+08,-5.521656311191319219e+03
2.790000000000000000e+02,1.458710760000000000e+08,-5.513435408730721974e+03
2.795000000000000000e+02,1.458710680000000000e+08,-5.496993603876094312e+03
2.800000000000000000e+02,1.458710640000000000e+08,-5.488772701415497068e+03
2.805000000000000000e+02,1.458710600000000000e+08,-5.480551798954899823e+03
2.810000000000000000e+02,1.458710560000000000e+08,-5.472330896494302579e+03
2.815000000000000000e+02,1.458710500000000000e+08,-5.459999542803406257e+03
2.820000000000000000e+02,1.458710460000000000e+08,-5.451778640409376749e+03
2.825000000000000000e+02,1.458710400000000000e+08,-5.439447286718480427e+03
2.830000000000000000e+02,1.458710380000000000e+08,-5.435336835488181350e+03
2.835000000000000000e+02,1.458710300000000000e+08,-5.418895030566986861e+03
2.840000000000000000e+02,1.458710280000000000e+08,-5.414784579336688694e+03
2.845000000000000000e+02,1.458710200000000000e+08,-5.398342774482061031e+03
2.855000000000000000e+02,1.458710100000000000e+08,-5.377790518330568375e+03
2.860000000000000000e+02,1.458710060000000000e+08,-5.369569615936537957e+03
2.865000000000000000e+02,1.458710000000000000e+08,-5.357238262245641636e+03
2.870000000000000000e+02,1.458709940000000000e+08,-5.344906908554746224e+03
2.875000000000000000e+02,1.458709880000000000e+08,-5.332575554863849902e+03
