# time,frequency,rangerate
6.200000000000000000e+01,1.458710920000000000e+08,-6.059642156492070171e+03
6.300000000000000000e+01,1.458710880000000000e+08,-6.051421239985773354e+03
6.450000000000000000e+01,1.458710860000000000e+08,-6.047310781765908359e+03
6.550000000000000000e+01,1.458710860000000000e+08,-6.047310781765908359e+03
7.000000000000000000e+01,1.458710640000000000e+08,-6.002095740881422898e+03
7.150000000000000000e+01,1.458710600000000000e+08,-5.993874824308558345e+03
7.200000000000000000e+01,1.458710620000000000e+08,-5.997985282594991077e+03
7.300000000000000000e+01,1.458710560000000000e+08,-5.985653907802261529e+03
7.550000000000000000e+01,1.458710460000000000e+08,-5.965101616503235164e+03
8.100000000000000000e+01,1.458710340000000000e+08,-5.940438866917776068e+03
8.150000000000000000e+01,1.458710280000000000e+08,-5.928107492125046520e+03
8.200000000000000000e+01,1.458710280000000000e+08,-5.928107492125046520e+03
8.300000000000000000e+01,1.458710220000000000e+08,-5.915776117332316971e+03
8.350000000000000000e+01,1.458710180000000000e+08,-5.907555200826020155e+03
8.400000000000000000e+01,1.458710200000000000e+08,-5.911665659112451976e+03
8.500000000000000000e+01,1.458710180000000000e+08,-5.907555200826020155e+03
8.550000000000000000e+01,1.458710140000000000e+08,-5.899334284319723338e+03
8.600000000000000000e+01,1.458710140000000000e+08,-5.899334284319723338e+03
8.650000000000000000e+01,1.458710100000000000e+08,-5.891113367813425612e+03
8.700000000000000000e+01,1.458710100000000000e+08,-5.891113367813425612e+03
8.750000000000000000e+01,1.458710060000000000e+08,-5.882892451240561059e+03
8.850000000000000000e+01,1.458709980000000000e+08,-5.866450618227967425e+03
9.200000000000000000e+01,1.458709900000000000e+08,-5.850008785148805146e+03
9.300000000000000000e+01,1.458709880000000000e+08,-5.845898326928940151e+03
9.350000000000000000e+01,1.458709860000000000e+08,-5.841787868642508329e+03
9.450000000000000000e+01,1.458709780000000000e+08,-5.825346035563346959e+03
9.500000000000000000e+01,1.458709800000000000e+08,-5.829456493849778781e+03
9.550000000000000000e+01,1.458709780000000000e+08,-5.825346035563346959e+03
