# time,frequency,rangerate
1.330000000000000000e+02,1.458722040000000000e+08,-6.944768208106271231e+03
1.385000000000000000e+02,1.458721880000000000e+08,-6.911884695585271402e+03
1.415000000000000000e+02,1.458721820000000000e+08,-6.899553378439822154e+03
1.425000000000000000e+02,1.458721880000000000e+08,-6.911884695585271402e+03
1.435000000000000000e+02,1.458721820000000000e+08,-6.899553378439822154e+03
1.440000000000000000e+02,1.458721860000000000e+08,-6.907774256536788016e+03
1.445000000000000000e+02,1.458721840000000000e+08,-6.903663817488304630e+03
1.455000000000000000e+02,1.458721800000000000e+08,-6.895442939324771942e+03
1.460000000000000000e+02,1.458721800000000000e+08,-6.895442939324771942e+03
1.470000000000000000e+02,1.458721760000000000e+08,-6.887222061227805170e+03
1.480000000000000000e+02,1.458721700000000000e+08,-6.874890744015788187e+03
1.485000000000000000e+02,1.458721760000000000e+08,-6.887222061227805170e+03
1.505000000000000000e+02,1.458721700000000000e+08,-6.874890744015788187e+03
1.510000000000000000e+02,1.458721680000000000e+08,-6.870780304967305710e+03
1.515000000000000000e+02,1.458721660000000000e+08,-6.866669865918822325e+03
1.520000000000000000e+02,1.458721680000000000e+08,-6.870780304967305710e+03
1.525000000000000000e+02,1.458721640000000000e+08,-6.862559426870338939e+03
1.535000000000000000e+02,1.458721640000000000e+08,-6.862559426870338939e+03
1.555000000000000000e+02,1.458721580000000000e+08,-6.850228109658321955e+03
1.575000000000000000e+02,1.458721540000000000e+08,-6.842007231494789266e+03
1.580000000000000000e+02,1.458721560000000000e+08,-6.846117670609839479e+03
1.610000000000000000e+02,1.458721460000000000e+08,-6.825565475300856633e+03
1.640000000000000000e+02,1.458721380000000000e+08,-6.809123719040356264e+03
1.645000000000000000e+02,1.458721420000000000e+08,-6.817344597137323035e+03
1.655000000000000000e+02,1.458721400000000000e+08,-6.813234158088839649e+03
1.660000000000000000e+02,1.458721340000000000e+08,-6.800902840876822665e+03
1.670000000000000000e+02,1.458721300000000000e+08,-6.792681962779856804e+03
1.675000000000000000e+02,1.458721300000000000e+08,-6.792681962779856804e+03
1.680000000000000000e+02,1.458721320000000000e+08,-6.796792401828339280e+03
1.690000000000000000e+02,1.458721300000000000e+08,-6.792681962779856804e+03
1.700000000000000000e+02,1.458721260000000000e+08,-6.784461084616323205e+03
1.725000000000000000e+02,1.458721220000000000e+08,-6.776240206519356434e+03
1.730000000000000000e+02,1.458721200000000000e+08,-6.772129767470873958e+03
1.735000000000000000e+02,1.458721160000000000e+08,-6.763908889307340360e+03
1.740000000000000000e+02,1.458721160000000000e+08,-6.763908889307340360e+03
1.745000000000000000e+02,1.458721140000000000e+08,-6.759798450258856974e+03
1.750000000000000000e+02,1.458721160000000000e+08,-6.763908889307340360e+03
1.755000000000000000e+02,1.458721140000000000e+08,-6.759798450258856974e+03
1.785000000000000000e+02,1.458721020000000000e+08,-6.735135815901390743e+03
1.790000000000000000e+02,1.458721020000000000e+08,-6.735135815901390743e+03
1.795000000000000000e+02,1.458721020000000000e+08,-6.735135815901390743e+03
1.800000000000000000e+02,1.458721080000000000e+08,-6.747467133046839990e+03
1.810000000000000000e+02,1.458720960000000000e+08,-6.722804498689373759e+03
1.835000000000000000e+02,1.458720920000000000e+08,-6.714583620592407897e+03
1.840000000000000000e+02,1.458720860000000000e+08,-6.702252303380390913e+03
1.845000000000000000e+02,1.458720900000000000e+08,-6.710473181477357684e+03
1.850000000000000000e+02,1.458720880000000000e+08,-6.706362742428874299e+03
1.855000000000000000e+02,1.458720860000000000e+08,-6.702252303380390913e+03
1.860000000000000000e+02,1.458720800000000000e+08,-6.689920986168373929e+03
1.865000000000000000e+02,1.458720840000000000e+08,-6.698141864331907527e+03
1.880000000000000000e+02,1.458720800000000000e+08,-6.689920986168373929e+03
1.885000000000000000e+02,1.458720760000000000e+08,-6.681700108071408067e+03
1.895000000000000000e+02,1.458720760000000000e+08,-6.681700108071408067e+03
1.905000000000000000e+02,1.458720760000000000e+08,-6.681700108071408067e+03
1.915000000000000000e+02,1.458720720000000000e+08,-6.673479229907874469e+03
1.925000000000000000e+02,1.458720620000000000e+08,-6.652927034598891623e+03
1.930000000000000000e+02,1.458720660000000000e+08,-6.661147912762425221e+03
1.940000000000000000e+02,1.458720620000000000e+08,-6.652927034598891623e+03
1.945000000000000000e+02,1.458720580000000000e+08,-6.644706156501924852e+03
1.950000000000000000e+02,1.458720580000000000e+08,-6.644706156501924852e+03
1.955000000000000000e+02,1.458720600000000000e+08,-6.648816595550408238e+03
1.960000000000000000e+02,1.458720540000000000e+08,-6.636485278404958990e+03
