# time,frequency,rangerate
2.570000000000000000e+02,1.458689020000000000e+08,-2.207548561405541477e+03
2.575000000000000000e+02,1.458688940000000000e+08,-2.191106692712875429e+03
2.585000000000000000e+02,1.458688820000000000e+08,-2.166443889807011146e+03
2.590000000000000000e+02,1.458688740000000000e+08,-2.150002021180912379e+03
2.595000000000000000e+02,1.458688700000000000e+08,-2.141781086834579583e+03
2.600000000000000000e+02,1.458688580000000000e+08,-2.117118283862148019e+03
2.605000000000000000e+02,1.458688520000000000e+08,-2.104786882442499518e+03
2.610000000000000000e+02,1.458688440000000000e+08,-2.088345013816400751e+03
2.615000000000000000e+02,1.458688380000000000e+08,-2.076013612330184969e+03
2.620000000000000000e+02,1.458688300000000000e+08,-2.059571743704086202e+03
2.625000000000000000e+02,1.458688220000000000e+08,-2.043129875011420154e+03
2.630000000000000000e+02,1.458688140000000000e+08,-2.026688006385321387e+03
2.635000000000000000e+02,1.458688080000000000e+08,-2.014356604965672886e+03
2.640000000000000000e+02,1.458688020000000000e+08,-2.002025203479457105e+03
2.645000000000000000e+02,1.458687940000000000e+08,-1.985583334853358338e+03
2.650000000000000000e+02,1.458687860000000000e+08,-1.969141466160692289e+03
2.655000000000000000e+02,1.458687780000000000e+08,-1.952699597534593522e+03
2.660000000000000000e+02,1.458687720000000000e+08,-1.940368196114945022e+03
2.665000000000000000e+02,1.458687660000000000e+08,-1.928036794628729240e+03
2.670000000000000000e+02,1.458687580000000000e+08,-1.911594926002630473e+03
2.675000000000000000e+02,1.458687500000000000e+08,-1.895153057309964424e+03
2.690000000000000000e+02,1.458687260000000000e+08,-1.845827451431668351e+03
2.695000000000000000e+02,1.458687200000000000e+08,-1.833496049945452569e+03
2.700000000000000000e+02,1.458687120000000000e+08,-1.817054181319353802e+03
2.705000000000000000e+02,1.458687060000000000e+08,-1.804722779833138020e+03
2.710000000000000000e+02,1.458687000000000000e+08,-1.792391378413489520e+03
2.715000000000000000e+02,1.458686900000000000e+08,-1.771839042580940713e+03
2.720000000000000000e+02,1.458686840000000000e+08,-1.759507641094724931e+03
2.725000000000000000e+02,1.458686740000000000e+08,-1.738955305328743179e+03
2.730000000000000000e+02,1.458686660000000000e+08,-1.722513436702644640e+03
2.735000000000000000e+02,1.458686620000000000e+08,-1.714292502356311616e+03
2.740000000000000000e+02,1.458686540000000000e+08,-1.697850633730212849e+03
2.745000000000000000e+02,1.458686480000000000e+08,-1.685519232243997067e+03
2.750000000000000000e+02,1.458686360000000000e+08,-1.660856429338132557e+03
2.755000000000000000e+02,1.458686320000000000e+08,-1.652635494991799760e+03
2.760000000000000000e+02,1.458686220000000000e+08,-1.632083159225818235e+03
2.765000000000000000e+02,1.458686180000000000e+08,-1.623862224879485211e+03
2.770000000000000000e+02,1.458686080000000000e+08,-1.603309889113503687e+03
2.775000000000000000e+02,1.458686020000000000e+08,-1.590978487627287677e+03
2.780000000000000000e+02,1.458685920000000000e+08,-1.570426151861306153e+03
2.785000000000000000e+02,1.458685840000000000e+08,-1.553984283168640104e+03
2.790000000000000000e+02,1.458685760000000000e+08,-1.537542414542541565e+03
2.795000000000000000e+02,1.458685680000000000e+08,-1.521100545916442798e+03
2.800000000000000000e+02,1.458685640000000000e+08,-1.512879611636677055e+03
2.805000000000000000e+02,1.458685560000000000e+08,-1.496437743010578515e+03
2.810000000000000000e+02,1.458685480000000000e+08,-1.479995874317912467e+03
2.815000000000000000e+02,1.458685400000000000e+08,-1.463554005691813700e+03
2.820000000000000000e+02,1.458685340000000000e+08,-1.451222604205597918e+03
2.825000000000000000e+02,1.458685240000000000e+08,-1.430670268439616393e+03
2.830000000000000000e+02,1.458685180000000000e+08,-1.418338866953400611e+03
2.835000000000000000e+02,1.458685080000000000e+08,-1.397786531187418859e+03
2.840000000000000000e+02,1.458685020000000000e+08,-1.385455129701203077e+03
2.845000000000000000e+02,1.458684960000000000e+08,-1.373123728214987295e+03
2.850000000000000000e+02,1.458684860000000000e+08,-1.352571392449005771e+03
2.855000000000000000e+02,1.458684760000000000e+08,-1.332019056616456965e+03
2.860000000000000000e+02,1.458684700000000000e+08,-1.319687655196808237e+03
2.865000000000000000e+02,1.458684640000000000e+08,-1.307356253710592455e+03
2.870000000000000000e+02,1.458684540000000000e+08,-1.286803917878043649e+03
2.875000000000000000e+02,1.458684480000000000e+08,-1.274472516458395148e+03
2.880000000000000000e+02,1.458684380000000000e+08,-1.253920180625846342e+03
2.885000000000000000e+02,1.458684320000000000e+08,-1.241588779139630333e+03
2.890000000000000000e+02,1.458684240000000000e+08,-1.225146910513531793e+03
2.895000000000000000e+02,1.458684180000000000e+08,-1.212815509027315784e+03
2.900000000000000000e+02,1.458684080000000000e+08,-1.192263173261334259e+03
2.905000000000000000e+02,1.458684020000000000e+08,-1.179931771775118477e+03
2.910000000000000000e+02,1.458683920000000000e+08,-1.159379436009136953e+03
2.915000000000000000e+02,1.458683840000000000e+08,-1.142937567383038186e+03
2.920000000000000000e+02,1.458683760000000000e+08,-1.126495698756939646e+03
2.925000000000000000e+02,1.458683680000000000e+08,-1.110053830064273598e+03
2.930000000000000000e+02,1.458683600000000000e+08,-1.093611961438174831e+03
2.935000000000000000e+02,1.458683520000000000e+08,-1.077170092812076064e+03
2.940000000000000000e+02,1.458683440000000000e+08,-1.060728224185977524e+03
2.945000000000000000e+02,1.458683360000000000e+08,-1.044286355559878757e+03
