# time,frequency,rangerate
2.860000000000000000e+02,1.458721140000000000e+08,-6.404717698380215552e+03
2.865000000000000000e+02,1.458721100000000000e+08,-6.396496830002075512e+03
2.870000000000000000e+02,1.458721020000000000e+08,-6.380055093179225878e+03
2.875000000000000000e+02,1.458720960000000000e+08,-6.367723790612015364e+03
2.885000000000000000e+02,1.458720880000000000e+08,-6.351282053855733466e+03
2.890000000000000000e+02,1.458720840000000000e+08,-6.343061185477592517e+03
2.895000000000000000e+02,1.458720780000000000e+08,-6.330729882843814266e+03
2.900000000000000000e+02,1.458720740000000000e+08,-6.322509014465673317e+03
2.905000000000000000e+02,1.458720680000000000e+08,-6.310177711898462803e+03
2.910000000000000000e+02,1.458720660000000000e+08,-6.306067277709392329e+03
2.920000000000000000e+02,1.458720500000000000e+08,-6.273183804130261706e+03
2.925000000000000000e+02,1.458720500000000000e+08,-6.273183804130261706e+03
2.930000000000000000e+02,1.458720480000000000e+08,-6.269073369941191231e+03
2.940000000000000000e+02,1.458720400000000000e+08,-6.252631633184909333e+03
2.945000000000000000e+02,1.458720280000000000e+08,-6.227969027983919659e+03
2.950000000000000000e+02,1.458720320000000000e+08,-6.236189896428628344e+03
2.955000000000000000e+02,1.458720240000000000e+08,-6.219748159605779620e+03
2.960000000000000000e+02,1.458720240000000000e+08,-6.219748159605779620e+03
2.965000000000000000e+02,1.458720160000000000e+08,-6.203306422849497721e+03
2.970000000000000000e+02,1.458720100000000000e+08,-6.190975120282286298e+03
2.975000000000000000e+02,1.458720020000000000e+08,-6.174533383459437573e+03
2.980000000000000000e+02,1.458720040000000000e+08,-6.178643817648508048e+03
2.985000000000000000e+02,1.458720000000000000e+08,-6.170422949270367099e+03
2.990000000000000000e+02,1.458719980000000000e+08,-6.166312515081296624e+03
2.995000000000000000e+02,1.458719920000000000e+08,-6.153981212514085200e+03
3.000000000000000000e+02,1.458719900000000000e+08,-6.149870778325015635e+03
3.005000000000000000e+02,1.458719820000000000e+08,-6.133429041502166001e+03
3.010000000000000000e+02,1.458719800000000000e+08,-6.129318607313096436e+03
3.015000000000000000e+02,1.458719740000000000e+08,-6.116987304745885012e+03
3.020000000000000000e+02,1.458719660000000000e+08,-6.100545567989603114e+03
3.025000000000000000e+02,1.458719620000000000e+08,-6.092324699611462165e+03
3.030000000000000000e+02,1.458719600000000000e+08,-6.088214265422391691e+03
3.035000000000000000e+02,1.458719560000000000e+08,-6.079993396977683915e+03
3.040000000000000000e+02,1.458719520000000000e+08,-6.071772528599542966e+03
3.045000000000000000e+02,1.458719480000000000e+08,-6.063551660221402017e+03
3.050000000000000000e+02,1.458719460000000000e+08,-6.059441226032332452e+03
3.055000000000000000e+02,1.458719380000000000e+08,-6.042999489276050554e+03
3.060000000000000000e+02,1.458719340000000000e+08,-6.034778620831342778e+03
3.065000000000000000e+02,1.458719300000000000e+08,-6.026557752453201829e+03
3.075000000000000000e+02,1.458719180000000000e+08,-6.001895147318778982e+03
3.080000000000000000e+02,1.458719160000000000e+08,-5.997784713129708507e+03
3.085000000000000000e+02,1.458719120000000000e+08,-5.989563844685000731e+03
3.090000000000000000e+02,1.458719060000000000e+08,-5.977232542117789308e+03
3.095000000000000000e+02,1.458719020000000000e+08,-5.969011673739649268e+03
3.100000000000000000e+02,1.458718980000000000e+08,-5.960790805361508319e+03
3.105000000000000000e+02,1.458718940000000000e+08,-5.952569936983367370e+03
3.110000000000000000e+02,1.458718880000000000e+08,-5.940238634349589120e+03
3.115000000000000000e+02,1.458718860000000000e+08,-5.936128200160518645e+03
3.120000000000000000e+02,1.458718760000000000e+08,-5.915576029215166272e+03
