run_id,kep_rms_sum,rsw_pos_rms_sum
11_G_PM,10288.935674305081,330062.9896261777
25_D_CD200,35.76506416325517,6071.021498229471
24_D_CD150,33.617185682179525,6038.989815651115
23_D_CD110,32.47015253946193,6052.4412616527925
32_TBP_NONE,32.40016618908489,6062.9719340268375
33_TBP_M,32.39387740439249,6098.784812005955
22_D_OFF,32.3287392035199,6264.468364559004
42_SRP_OFF,32.31839888864152,6073.455129344242
00_BASE,32.270663285735004,6061.218548109329
41_SRP_ON,32.270663285735004,6061.218548109329
31_TBP_ALL,32.270663285735004,6061.218548109329
21_D_ON,32.270663285735004,6061.218548109329
12_G_SPH,32.270663285735004,6061.218548109329
33_TBP_MS,32.27066321831306,6061.2187475784485
43_SRP110,32.2659030234754,6059.996987290204
44_SRP150,32.246865120668375,6055.11216116804
45_SRP200,32.223113796705896,6049.01314219053
