,run_id,rms_da_m,rms_de_nil,rms_di_rad,rms_dw_rad,rms_draan_rad,rms_dnu_rad,rms_dR_m,rms_dS_m,rms_dW_m,rms_dVR_ms,rms_dVS_ms,rms_dVW_ms,rms_RSW_pos_m,rms_RSW_vel_ms
0,00_BASE,31.87369612506929,2.6714176898200165e-05,3.215617757640032e-05,0.06312714318353778,2.2605379316889135e-05,0.3337585417483863,176.96064873078987,2840.3282720564857,191.64828933197472,3.093482331661869,0.19350972089929608,0.2104805634471014,2852.2813379900795,3.1066671878358143
1,11_G_PM,10286.14830625824,0.0008839700929407487,9.804520957421128e-05,0.7876300410328514,0.00902306546502003,1.989732925042093,3179.270970878245,138223.30643754525,43668.305231733546,151.2876245275942,3.586110346207556,48.150427368520745,144992.10698602063,158.80575927336102
2,12_G_SPH,31.87369612506929,2.6714176898200165e-05,3.215617757640032e-05,0.06312714318353778,2.2605379316889135e-05,0.3337585417483863,176.96064873078987,2840.3282720564857,191.64828933197472,3.093482331661869,0.19350972089929608,0.2104805634471014,2852.2813379900795,3.1066671878358143
3,21_D_ON,31.87369612506929,2.6714176898200165e-05,3.215617757640032e-05,0.06312714318353778,2.2605379316889135e-05,0.3337585417483863,176.96064873078987,2840.3282720564857,191.64828933197472,3.093482331661869,0.19350972089929608,0.2104805634471014,2852.2813379900795,3.1066671878358143
4,22_D_OFF,31.931847273189813,2.664564148621417e-05,3.21585442596179e-05,0.06308079361422086,2.260273564076686e-05,0.3337297297944783,176.3723177404691,2942.4683166083005,191.65440601551657,3.203939302127878,0.19297686147053,0.21047865132102359,2953.973324194718,3.216639299555455
5,23_D_CD110,32.07317752566876,2.672106945072947e-05,3.215594229984759e-05,0.06313218911546759,2.260564663539248e-05,0.3337613420193125,177.0538231568248,2835.881135551858,191.6476852236109,3.0888018789851786,0.19357463980952355,0.21048077673710347,2847.858617720499,3.1020106940782153
6,24_D_CD150,33.220178701378316,2.674870857716562e-05,3.2155002227514823e-05,0.06315305934576784,2.2606721526316145e-05,0.3337724110230961,177.488504228471,2828.9111023327173,191.64527715439945,3.082013123708099,0.1938553504725793,0.21048166433455393,2840.944931935527,3.0952685380491376
7,25_D_CD200,35.36801600236419,2.6783417392576913e-05,3.215383161726086e-05,0.06318065330572312,2.2608077579768094e-05,0.333785962258664,178.17045674630785,2844.5993769239603,191.64229404325252,3.1004230749433477,0.19425342669449389,0.21048285993474475,2856.6093705159496,3.1136250049981977
8,31_TBP_ALL,31.87369612506929,2.6714176898200165e-05,3.215617757640032e-05,0.06312714318353778,2.2605379316889135e-05,0.3337585417483863,176.96064873078987,2840.3282720564857,191.64828933197472,3.093482331661869,0.19350972089929608,0.2104805634471014,2852.2813379900795,3.1066671878358143
9,32_TBP_NONE,32.00328306461186,2.66921382989145e-05,3.223174663481266e-05,0.06305099199690369,2.1388966011893103e-05,0.33375181962518585,176.87070683132745,2842.8870894237557,188.59370162939985,3.096339232104585,0.1933967959657629,0.2072421668187223,2854.6204361423543,3.109287422652906
10,33_TBP_MS,31.873696058709427,2.6714176426847658e-05,3.2156176996615296e-05,0.0631271419605411,2.26053675193645e-05,0.3337585419221444,176.96064644331207,2840.3283922191004,191.64825379649957,3.0934824641285283,0.19350971839577283,0.21048052553302912,2852.2814551195365,3.1066673170156127
11,33_TBP_M,31.996810482294787,2.6723087571301757e-05,3.228156668903942e-05,0.06325029276910174,2.2239569174405153e-05,0.3337353851051662,177.03811101970132,2859.386224091903,191.13027809707654,3.114466043344165,0.19358374584291793,0.20994530731092662,2871.2301987972746,3.1275310444279065
12,41_SRP_ON,31.87369612506929,2.6714176898200165e-05,3.215617757640032e-05,0.06312714318353778,2.2605379316889135e-05,0.3337585417483863,176.96064873078987,2840.3282720564857,191.64828933197472,3.093482331661869,0.19350972089929608,0.2104805634471014,2852.2813379900795,3.1066671878358143
13,42_SRP_OFF,31.921276412434597,2.6694925645941443e-05,3.2148895278171874e-05,0.06345990085719322,2.2636070191052364e-05,0.3335810954586078,177.49531695481818,2846.143969645891,191.70609824509575,3.0997848709315954,0.1941007671484464,0.2105398974127358,2858.109744498437,3.1129838422752196
14,43_SRP110,31.868950057186332,2.6716202503542363e-05,3.215692204733595e-05,0.06309496124250334,2.2602310011186994e-05,0.3337765296120147,176.90817481747197,2839.7471851772325,191.64257997334136,3.0928524072258052,0.19345170957679836,0.2104747059950497,2851.699047322158,3.106035926818031
15,44_SRP150,31.849966505899875,2.672448997840496e-05,3.2159928576681904e-05,0.0629682536374598,2.2590034908219092e-05,0.33384888667757423,176.70009919351722,2837.4225052929905,191.619876281285,3.0903319649969188,0.19322167135021343,0.21045141818974872,2849.369680400247,3.1035102815326976
16,45_SRP200,31.826277670554795,2.6735261644094788e-05,3.216375264342186e-05,0.06281447153822657,2.2574690464096482e-05,0.33394018090812483,176.4441041199347,2834.517826696033,191.59178865050185,3.0871818671532596,0.1929386389833433,0.2104226183816508,2846.4594227240596,3.10035399230785
