# time,frequency,rangerate
1.910000000000000000e+02,1.458706060000000000e+08,-4.282743018734727229e+03
1.920000000000000000e+02,1.458705980000000000e+08,-4.266301228391770564e+03
1.935000000000000000e+02,1.458705840000000000e+08,-4.237528095208387640e+03
1.995000000000000000e+02,1.458705280000000000e+08,-4.122435562607991415e+03
2.005000000000000000e+02,1.458705160000000000e+08,-4.097772876993705722e+03
2.015000000000000000e+02,1.458705080000000000e+08,-4.081331086650749512e+03
2.020000000000000000e+02,1.458704960000000000e+08,-4.056668401103031556e+03
2.050000000000000000e+02,1.458704780000000000e+08,-4.019674372714886886e+03
2.055000000000000000e+02,1.458704740000000000e+08,-4.011453477510124685e+03
2.060000000000000000e+02,1.458704640000000000e+08,-3.990901239598071243e+03
2.065000000000000000e+02,1.458704660000000000e+08,-3.995011687167168475e+03
2.075000000000000000e+02,1.458704560000000000e+08,-3.974459449188547751e+03
2.080000000000000000e+02,1.458704460000000000e+08,-3.953907211209926572e+03
2.090000000000000000e+02,1.458704420000000000e+08,-3.945686316005164826e+03
2.105000000000000000e+02,1.458704260000000000e+08,-3.912802735252684670e+03
2.110000000000000000e+02,1.458704220000000000e+08,-3.904581840114490205e+03
2.145000000000000000e+02,1.458703880000000000e+08,-3.834704230973865833e+03
2.155000000000000000e+02,1.458703820000000000e+08,-3.822372888200006400e+03
2.165000000000000000e+02,1.458703700000000000e+08,-3.797710202652288444e+03
2.170000000000000000e+02,1.458703660000000000e+08,-3.789489307447526699e+03
2.175000000000000000e+02,1.458703580000000000e+08,-3.773047517104570034e+03
2.180000000000000000e+02,1.458703560000000000e+08,-3.768937069468905520e+03
2.210000000000000000e+02,1.458703260000000000e+08,-3.707280355599610175e+03
4.025000000000000000e+02,1.458680520000000000e+08,9.662985589547868130e+02
4.045000000000000000e+02,1.458680260000000000e+08,1.019734377685887807e+03
4.055000000000000000e+02,1.458680080000000000e+08,1.056728406007465082e+03
4.075000000000000000e+02,1.458679800000000000e+08,1.114274672340947063e+03
4.085000000000000000e+02,1.458679700000000000e+08,1.134826910319568015e+03
4.095000000000000000e+02,1.458679560000000000e+08,1.163600043469667071e+03
4.120000000000000000e+02,1.458679240000000000e+08,1.229367204974627157e+03
4.145000000000000000e+02,1.458678880000000000e+08,1.303355261651065348e+03
4.220000000000000000e+02,1.458677900000000000e+08,1.504767193768326479e+03
4.230000000000000000e+02,1.458677760000000000e+08,1.533540326951709176e+03
4.250000000000000000e+02,1.458677480000000000e+08,1.591086593251907516e+03
4.260000000000000000e+02,1.458677360000000000e+08,1.615749278832909340e+03
4.265000000000000000e+02,1.458677300000000000e+08,1.628080621606768545e+03
4.270000000000000000e+02,1.458677160000000000e+08,1.656853754756867602e+03
4.280000000000000000e+02,1.458677140000000000e+08,1.660964202359248475e+03
4.300000000000000000e+02,1.458676840000000000e+08,1.722620916261827688e+03
4.310000000000000000e+02,1.458676740000000000e+08,1.743173154240448639e+03
4.325000000000000000e+02,1.458676520000000000e+08,1.788388077766787774e+03
4.850000000000000000e+02,1.458670260000000000e+08,3.074958174715889982e+03
4.865000000000000000e+02,1.458670120000000000e+08,3.103731307899272906e+03
4.940000000000000000e+02,1.458669420000000000e+08,3.247596973683052056e+03
4.965000000000000000e+02,1.458669120000000000e+08,3.309253687585631269e+03
4.975000000000000000e+02,1.458669000000000000e+08,3.333916373166633093e+03
4.985000000000000000e+02,1.458668860000000000e+08,3.362689506316732150e+03
4.995000000000000000e+02,1.458668780000000000e+08,3.379131296692972228e+03
5.000000000000000000e+02,1.458668760000000000e+08,3.383241744295352873e+03
5.005000000000000000e+02,1.458668680000000000e+08,3.399683534671592952e+03
5.015000000000000000e+02,1.458668580000000000e+08,3.420235772650214130e+03
5.020000000000000000e+02,1.458668580000000000e+08,3.420235772650214130e+03
5.025000000000000000e+02,1.458668520000000000e+08,3.432567115424073108e+03
5.040000000000000000e+02,1.458668360000000000e+08,3.465450696176553265e+03
5.050000000000000000e+02,1.458668260000000000e+08,3.486002934155173989e+03
