# time,frequency,rangerate
7.150000000000000000e+01,1.458707740000000000e+08,-5.641227618338300999e+03
7.200000000000000000e+01,1.458707700000000000e+08,-5.633006695374975607e+03
7.250000000000000000e+01,1.458707700000000000e+08,-5.633006695374975607e+03
7.300000000000000000e+01,1.458707640000000000e+08,-5.620675310929988882e+03
7.350000000000000000e+01,1.458707620000000000e+08,-5.616564849448325731e+03
7.400000000000000000e+01,1.458707640000000000e+08,-5.620675310929988882e+03
7.450000000000000000e+01,1.458707580000000000e+08,-5.608343926418433512e+03
7.500000000000000000e+01,1.458707520000000000e+08,-5.596012541973445877e+03
7.550000000000000000e+01,1.458707520000000000e+08,-5.596012541973445877e+03
7.600000000000000000e+01,1.458707540000000000e+08,-5.600123003455108119e+03
7.650000000000000000e+01,1.458707500000000000e+08,-5.591902080491783636e+03
7.700000000000000000e+01,1.458707480000000000e+08,-5.587791619010120485e+03
7.750000000000000000e+01,1.458707460000000000e+08,-5.583681157528458243e+03
7.800000000000000000e+01,1.458707420000000000e+08,-5.575460234565133760e+03
7.850000000000000000e+01,1.458707380000000000e+08,-5.567239311601808367e+03
7.900000000000000000e+01,1.458707380000000000e+08,-5.567239311601808367e+03
7.950000000000000000e+01,1.458707340000000000e+08,-5.559018388638482975e+03
8.100000000000000000e+01,1.458707280000000000e+08,-5.546687004126928514e+03
8.150000000000000000e+01,1.458707240000000000e+08,-5.538466081163603121e+03
8.200000000000000000e+01,1.458707260000000000e+08,-5.542576542645265363e+03
8.250000000000000000e+01,1.458707200000000000e+08,-5.530245158200278638e+03
8.300000000000000000e+01,1.458707200000000000e+08,-5.530245158200278638e+03
8.350000000000000000e+01,1.458707160000000000e+08,-5.522024235236953245e+03
8.450000000000000000e+01,1.458707080000000000e+08,-5.505582389310303370e+03
8.650000000000000000e+01,1.458707040000000000e+08,-5.497361466346977977e+03
8.750000000000000000e+01,1.458706940000000000e+08,-5.476809158872098124e+03
9.150000000000000000e+01,1.458706760000000000e+08,-5.439815005537135221e+03
9.200000000000000000e+01,1.458706740000000000e+08,-5.435704544055472979e+03
9.250000000000000000e+01,1.458706720000000000e+08,-5.431594082573809828e+03
9.300000000000000000e+01,1.458706700000000000e+08,-5.427483621092147587e+03
9.350000000000000000e+01,1.458706680000000000e+08,-5.423373159610485345e+03
9.400000000000000000e+01,1.458706620000000000e+08,-5.411041775098929975e+03
9.450000000000000000e+01,1.458706620000000000e+08,-5.411041775098929975e+03
9.600000000000000000e+01,1.458706560000000000e+08,-5.398710390653942341e+03
9.650000000000000000e+01,1.458706520000000000e+08,-5.390489467690617857e+03
9.700000000000000000e+01,1.458706460000000000e+08,-5.378158083245630223e+03
9.750000000000000000e+01,1.458706540000000000e+08,-5.394599929172280099e+03
9.800000000000000000e+01,1.458706420000000000e+08,-5.369937160282304831e+03
9.850000000000000000e+01,1.458706440000000000e+08,-5.374047621763967982e+03
9.900000000000000000e+01,1.458706380000000000e+08,-5.361716237318980347e+03
9.950000000000000000e+01,1.458706360000000000e+08,-5.357605775837317196e+03
1.000000000000000000e+02,1.458706320000000000e+08,-5.349384852807424977e+03
1.010000000000000000e+02,1.458706300000000000e+08,-5.345274391325762736e+03
