# time,frequency,rangerate
3.250000000000000000e+01,1.458710620000000000e+08,-6.380874951796564346e+03
3.300000000000000000e+01,1.458710580000000000e+08,-6.372654024772634330e+03
3.350000000000000000e+01,1.458710580000000000e+08,-6.372654024772634330e+03
3.400000000000000000e+01,1.458710580000000000e+08,-6.372654024772634330e+03
3.450000000000000000e+01,1.458710560000000000e+08,-6.368543561227385908e+03
3.500000000000000000e+01,1.458710560000000000e+08,-6.368543561227385908e+03
3.550000000000000000e+01,1.458710540000000000e+08,-6.364433097748704313e+03
3.600000000000000000e+01,1.458710520000000000e+08,-6.360322634203454982e+03
3.650000000000000000e+01,1.458710520000000000e+08,-6.360322634203454982e+03
3.700000000000000000e+01,1.458710480000000000e+08,-6.352101707246092701e+03
3.750000000000000000e+01,1.458710480000000000e+08,-6.352101707246092701e+03
3.800000000000000000e+01,1.458710440000000000e+08,-6.343880780222161775e+03
3.850000000000000000e+01,1.458710460000000000e+08,-6.347991243700843370e+03
3.900000000000000000e+01,1.458710420000000000e+08,-6.339770316676913353e+03
3.950000000000000000e+01,1.458710420000000000e+08,-6.339770316676913353e+03
4.000000000000000000e+01,1.458710400000000000e+08,-6.335659853198231758e+03
4.050000000000000000e+01,1.458710400000000000e+08,-6.335659853198231758e+03
4.100000000000000000e+01,1.458710360000000000e+08,-6.327438926174301741e+03
4.150000000000000000e+01,1.458710360000000000e+08,-6.327438926174301741e+03
4.200000000000000000e+01,1.458710320000000000e+08,-6.319217999150371725e+03
4.250000000000000000e+01,1.458710320000000000e+08,-6.319217999150371725e+03
4.300000000000000000e+01,1.458710280000000000e+08,-6.310997072126440798e+03
4.400000000000000000e+01,1.458710240000000000e+08,-6.302776145102510782e+03
4.450000000000000000e+01,1.458710240000000000e+08,-6.302776145102510782e+03
4.500000000000000000e+01,1.458710240000000000e+08,-6.302776145102510782e+03
4.550000000000000000e+01,1.458710200000000000e+08,-6.294555218078580765e+03
4.600000000000000000e+01,1.458710180000000000e+08,-6.290444754533332343e+03
4.650000000000000000e+01,1.458710180000000000e+08,-6.290444754533332343e+03
4.700000000000000000e+01,1.458710140000000000e+08,-6.282223827509401417e+03
4.750000000000000000e+01,1.458710140000000000e+08,-6.282223827509401417e+03
4.800000000000000000e+01,1.458710120000000000e+08,-6.278113364030719822e+03
5.150000000000000000e+01,1.458710020000000000e+08,-6.257561046437611367e+03
